episode_overall,season,episode,title,aired_date,year,tmdb_rating,tmdb_vote_count,synopsis,directed_by,written_by,us_viewers_millions,runtime,tmdb_id,imdb_title,imdb_aired_date,imdb_synopsis,imdb_rating,imdb_vote_count,thumbnail_url,imdb_episode_url,is_holiday,guest_actors,guest_characters
11,1,11,Weekend at Mort's,2011-05-08,2011,7.8,15,Bob and his family are forced to spend the weekend at Mort the Mortician's while the restaurant is being de-molded. Linda and Bob double date with Mort and a female mortician he meets online while Tina babysits Gene and Louise in Mort’s crematorium.,Anthony Chun,Scott Jacobson,4.26,22,769784,Weekend at Mort's,"Sun, May 8, 2011",The family has to stay next door at Mort the Mortician's house since the restaurant is infested with mold. Bob and Linda double date with Mort and his mysterious Internet-girlfriend; while Tina entertains her siblings in the crematorium.,8,1600,"https://m.media-amazon.com/images/M/MV5BMTUzMDU5OTYyMF5BMl5BanBnXkFtZTgwMTUzNzg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt1905230/?ref_=ttep_ep_11,FALSE,NA,NA
12,1,12,Lobsterfest,2011-05-15,2011,7.6,16,"After the town's annual Lobsterfest is cancelled by a storm, Bob defiantly opens his doors for a festive celebration. When he wakes the next morning, Bob finds the restaurant in disarray and that the town has spurned him, but Bob won't let that deter him from further involvement in the celebratory weekend.",Boohwan Lim,Aron Abrams & Greg Thompson,4.68,22,769785,Lobsterfest,"Sun, May 15, 2011","Bob is likely the only person in town excited about the cancellation of this years ""Lobsterfest"" due to inclement weather. Bob strikes gold when he opens the restaurant regardless of the storm, and is celebrated by the masses.",7.6,1500,"https://m.media-amazon.com/images/M/MV5BMjIzOTcxMDg5MF5BMl5BanBnXkFtZTgwNTc0Njg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt1919433/?ref_=ttep_ep_12,FALSE,NA,NA
13,1,13,Torpedo,2011-05-22,2011,7.7,15,"Bob's hero, a washed-up baseball player named Torpedo Jones, starts pitching for the local minor league team. Torpedo befriends Bob, but the dark underbelly of minor league baseball threatens to corrupt the Belchers.",Kyounghee Lim,Dan Fybel & Rich Rinaldi,4.31,22,769786,Torpedo,"Sun, May 22, 2011","Bob is giddy as ever when his role model, minor league pitcher Torpedo Jones, gives a shout-out to the restaurant during a game, but is blind-sided upon finding out Torpedo endorses his burgers for reasons which are morally shaky at best.",7.6,1500,"https://m.media-amazon.com/images/M/MV5BMjA5ODQ1MzIxMV5BMl5BanBnXkFtZTgwODYyMjk0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt1928417/?ref_=ttep_ep_13,FALSE,NA,NA
14,2,1,The Belchies,2012-03-11,2012,7.9,16,The kids hunt for treasure in an abandoned taffy factory and Bob and Linda must find them before the factory’s scheduled demolition,Boohwan Lim & Kyounghee Lim,Jon Schroeder,4.04,22,769789,The Belchies,"Sun, Mar 11, 2012",The kids hunt for treasure in an abandoned taffy factory and Bob and Linda must find them before the factory's scheduled demolition.,8.3,1600,"https://m.media-amazon.com/images/M/MV5BNjk4NzY5MTUzNF5BMl5BanBnXkFtZTgwMjUwNDg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2273811/?ref_=ttep_ep_1,FALSE,Cyndi Lauper,Performer ('Taffy Butt')
15,2,2,Bob Day Afternoon,2012-03-18,2012,8.6,15,"A bank robber holds up a bank across the street from Bob’s Burgers. When the robbery goes awry, Bob finds himself at the center of a hostage crisis.",Wes Archer,Dan Fybel & Rich Rinaldi,4.4,22,769790,Bob Day Afternoon,"Sun, Mar 18, 2012","A bank robber holds up a bank across the street from Bob's Burgers. When the robbery goes awry, Bob finds himself at the center of a hostage crisis.",8.6,1900,"https://m.media-amazon.com/images/M/MV5BMDkyMTFkZjktNDAyYy00MjMyLTk5MjktZWNjZDg4ZjYxMmI3XkEyXkFqcGc@._V1_QL75_UY281_CR5,0,500,281_.jpg",https://www.imdb.com/title/tt2020389/?ref_=ttep_ep_2,FALSE,NA,NA
16,2,3,Synchronized Swimming,2012-03-25,2012,7.4,15,"The kids con their way out of gym class with a bogus synchronized swimming independent study. Meanwhile, Bob welcomes a new soft serve ice cream machine to the restaurant.",Anthony Chun,Holly Schlesinger,3.97,22,769791,Synchronized Swimming,"Sun, Mar 25, 2012","The Belcher children sign up for an independent study of synchronized swimming in lieu on participating in gym class. Linda disturbingly watches ""pregnant yoga"" and comes to the rescue of her children in the end.",7.4,1500,"https://m.media-amazon.com/images/M/MV5BMTQxMjI5ODk1Ml5BMl5BanBnXkFtZTgwNTY2Nzg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2303131/?ref_=ttep_ep_3,FALSE,Dex Lauper,Little League Player #1
17,2,4,Burgerboss,2012-04-01,2012,7.8,15,"Bob becomes obsessed with an old-school burger-flipping video game after Jimmy Pesto gets the high score and writes ""BOB SUX"" on the leader board.",Jennifer Coyle,Scott Jacobson,3.66,22,769787,Burgerboss,"Sun, Apr 1, 2012",Bob becomes a gamer.,8.2,1600,"https://m.media-amazon.com/images/M/MV5BNDUwMDAxMzg5MV5BMl5BanBnXkFtZTgwNTY4MTk0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2317497/?ref_=ttep_ep_4,FALSE,NA,NA
18,2,5,Food Truckin',2012-04-15,2012,7.7,15,"The Belchers beg Bob to buy a food truck to compete against the ones that are stealing his customers. When the ""Lolla-Pa-Foods-A-Festival"" comes up, the Belchers bring the truck and the kids decide to cause mischief. Unfortunately, this causes a riot to rise from the other food truckers.",Bernard Derriman,Lizzie Molyneux & Wendy Molyneux,3.9,22,769788,Food Truckin',"Sun, Apr 15, 2012",Bob gives the food truck business a try.,7.8,1500,"https://m.media-amazon.com/images/M/MV5BMTc0NjYyNzc3NV5BMl5BanBnXkFtZTgwODMzMjg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2340209/?ref_=ttep_ep_5,FALSE,Dave Allen; Dana Powell; Paul Scheer; Scott Jacobson,Bill; Karen; Larry; Paul Blinkman
19,2,6,Dr. Yap,2012-04-29,2012,7.2,14,"While Bob is medicated, he mistakes Linda's sister, Gayle, for his wife and kisses her. After she falls for him, Bob seeks help from Dr. Yap.",Anthony Chun,Steven Davis & Kelvin Yu,3.92,22,769792,Dr. Yap,"Sun, Apr 29, 2012","When a drugged Bob kisses Gayle thinking she's Linda, Gayle develops a crush on him.",7.5,1400,"https://m.media-amazon.com/images/M/MV5BMjE5NDc2NzE3NF5BMl5BanBnXkFtZTgwODY1ODg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2366089/?ref_=ttep_ep_6,FALSE,NA,NA
20,2,7,Moody Foodie,2012-05-06,2012,7.3,14,The restaurant receives a negative review from a vicious food critic.,Boohwan Lim & Kyounghee Lim,Steven Davis & Kelvin Yu,3.72,22,769795,Moody Foodie,"Sun, May 6, 2012","After a critic leaves the restaurant a bad review, Bob goes to drastic measures to get him to change his mind.",7.7,1400,"https://m.media-amazon.com/images/M/MV5BMTQzOTk4MTA4MF5BMl5BanBnXkFtZTgwNzY5MTg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2376081/?ref_=ttep_ep_7,FALSE,Michael Madsen; Patton Oswalt; Russell Peters,Kevin Costner; Moody Foodie; Tran
21,2,8,Bad Tina,2012-05-13,2012,7.8,17,Tina befriends a bad girl in a bid to get closer to Jimmy Junior.,Jennifer Coyle,Holly Schlesinger,3.69,22,769794,Bad Tina,"Sun, May 13, 2012",Tina pals around with a bad girl.,8,1500,"https://m.media-amazon.com/images/M/MV5BMTA3ODMyODIzNDheQTJeQWpwZ15BbWU4MDk0NTI5NDIx._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2386531/?ref_=ttep_ep_8,FALSE,NA,NA
22,2,9,Beefsquatch,2012-05-20,2012,7.7,15,"Bob appears in a cooking segment on a local news morning program, but Gene steals the show when he crashes the set with a sasquatch mask.",Wes Archer,Nora Smith,3.57,22,769793,Beefsquatch,"Sun, May 20, 2012","Bob gets thrilled when he gets offered to be in a cookery segment in a local morning show. When Gene steps into the limelight, the audience is not entertained and enthralled by Bob's performance.",7.7,1400,"https://m.media-amazon.com/images/M/MV5BMjAxMTg1NjU4Nl5BMl5BanBnXkFtZTgwNTg3Njg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2394175/?ref_=ttep_ep_9,FALSE,NA,NA
23,3,1,Ear-sy Rider,2012-09-30,2012,7.7,16,"A biker gang sets up shop in the restaurant, where they lament the loss of their beloved leader.",Anthony Chun,Dan Fybel & Rich Rinaldi,5.46,22,769797,Ear-Sy Rider,"Sun, Sep 30, 2012","While a biker gang begins hanging out at the restaurant, Louise goes through a crisis after a teenager steals her bunny ear hat.",8.2,1500,"https://m.media-amazon.com/images/M/MV5BMTkxOTQ5ODI3MV5BMl5BanBnXkFtZTcwNTU2NjM0OA@@._V1_QL75_UY281_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt2393284/?ref_=ttep_ep_1,FALSE,Kyle Kinane,Rat Daddy
24,3,2,Full Bars,2012-10-07,2012,8.1,18,"The Belcher kids break with a long standing Halloween tradition, veering away from their usual trick or treat trek in favor of a posh neighborhood that's known for its oversize goodies.",Boohwan Lim & Kyounghee Lim,Steven Davis & Kelvin Yu,4.89,22,769798,Full Bars,"Sun, Oct 7, 2012","On Halloween, the kids run into bullies when they go trick-or-treating in the rich neighborhood, while Bob and Linda attend a party where someone kills Teddy's pet guinea pig.",8.3,1500,"https://m.media-amazon.com/images/M/MV5BMjAxODM5NjI3MF5BMl5BanBnXkFtZTgwNDgyNjg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2393286/?ref_=ttep_ep_2,TRUE,NA,NA
25,3,3,Bob Fires the Kids,2012-11-04,2012,7.7,14,"Worried that his kids are not enjoying summer vacation because he's making them work in the restaurant, Bob fires them. But they soon become bored and take jobs as ""weed pickers"" for a pair of hippie farmers.",Boohwan Lim & Kyounghee Lim,Lizzie Molyneux & Wendy Molyneux,3.92,22,769799,Bob Fires the Kids,"Sun, Nov 4, 2012","Fearing that he is ruining their childhoods, Bob fires the kids from their jobs at the restaurant, but they just end up working for hippies who run a marijuana farm, instead.",8,1500,"https://m.media-amazon.com/images/M/MV5BMTc2MzU5MTczN15BMl5BanBnXkFtZTgwNTUyMjg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2483074/?ref_=ttep_ep_3,FALSE,NA,NA
26,3,4,Mutiny on the Windbreaker,2012-11-11,2012,6.9,14,"Bob does a tour of duty as a private chef on a docked cruise ship and brings along the family to witness his true culinary skills, but the special occasion is scuttled when the kooky captain shanghais the whole family.",John Rice,Kit Boss,4.89,22,769801,Mutiny on the Windbreaker,"Sun, Nov 11, 2012","Bob brings the family along when he is hired to be a chef on a docked cruise ship, so they can see his skills outside the restaurant.",7.5,1400,"https://m.media-amazon.com/images/M/MV5BMjIyOTg1Mjg0OF5BMl5BanBnXkFtZTgwNTYyMjg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2483078/?ref_=ttep_ep_4,FALSE,Jeffrey Tambor,Captain Flarty
27,3,5,An Indecent Thanksgiving Proposal,2012-11-18,2012,7.7,15,"Bob's plans for his favorite holiday, Thanksgiving, change when Mr. Fischoeder hires him as a chef, and Linda and the kids to play his family, as he tries to stage a perfect holiday dinner in order to make a former flame jealous.",Tyree Dillihay,Lizzie Molyneux & Wendy Molyneux,3.94,22,769800,An Indecent Thanksgiving Proposal,"Sun, Nov 18, 2012","In order to entice an old flame who is only attracted to married men, Mr. Fischoeder bribes Bob into letting him pass off Linda and the kids as his own family, but the situation ruins all of Bob's Thanksgiving traditions.",8.2,1500,"https://m.media-amazon.com/images/M/MV5BMTY5Mzg1MzQ1OF5BMl5BanBnXkFtZTgwMDkyMjg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2483080/?ref_=ttep_ep_5,TRUE,NA,NA
28,3,6,The Deepening,2012-11-25,2012,7.6,14,"Mr. Fischoeder's new pier attraction, a mechanical shark, goes haywire and terrorizes the town, and it falls to Bob and the family to catch it.",Bernard Derriman,Greg Thompson,4.66,22,769802,The Deepening,"Sun, Nov 25, 2012","Mr. Fischoeder buys a mechanical movie shark as an attraction for his amusement park, but the kids accidentally let it loose on the town, forcing Bob and Teddy to save the day.",7.8,1300,"https://m.media-amazon.com/images/M/MV5BMjAzNTczNTAxMV5BMl5BanBnXkFtZTgwNTAwMjg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2511944/?ref_=ttep_ep_6,FALSE,NA,NA
29,3,7,Tina-rannosaurus Wrecks,2012-12-02,2012,8,13,"After Tina accidentally wrecks the car, and gets the whole family involved with a slimy insurance agent, she worries that she's a ""jinx"".",Wes Archer,Jon Schroeder,3.97,22,769803,Tina-Rannosaurus Wrecks,"Sun, Dec 2, 2012","Tina is wracked with guilt when Bob forces her to lie about an accident that occurred when he let her drive his car, but a shady insurance adjuster sees through their ploy and blackmails Bob into committing more insurance fraud.",8.3,1500,"https://m.media-amazon.com/images/M/MV5BNDYwNTM3OTk5M15BMl5BanBnXkFtZTgwNDExMjk0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2524708/?ref_=ttep_ep_7,FALSE,Bob Odenkirk,Chase
30,3,8,The Unbearable Like-Likeness of Gene,2012-12-09,2012,7.5,13,"Gene gets his first girlfriend, but it doesn't take long for the family to realize that she is incredibly annoying and they pressure him to break up with her.",Don MacKinnon,Holly Schlesinger,4.55,22,769804,The Unbearable Like-Likeness of Gene,"Sun, Dec 9, 2012","An incredibly annoying girl develops a crush on Gene, but he can't bring himself to dump her after he finds out her father has a music studio in their home.",7.7,1300,"https://m.media-amazon.com/images/M/MV5BMjQyNjEyNzQwMV5BMl5BanBnXkFtZTgwMTkwMzg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2531550/?ref_=ttep_ep_8,FALSE,NA,NA
31,3,9,Bob Rest Ye Merry Gentle-Mannequins,2012-12-16,2012,7.6,13,"When Bob inherits a storage unit around Christmas, visions of riches dance in the heads of the family, but what they find inside is a squatter who claims he once worked as a mannequin.",Anthony Chun,Kit Boss,3.09,22,769805,Bob Rest Ye Merry Gentle-Mannequins,"Sun, Dec 16, 2012",'Tis the season for strange holiday mannequins.,7.8,1400,"https://m.media-amazon.com/images/M/MV5BMjAzMjc5NTQxM15BMl5BanBnXkFtZTgwNzIyMzg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2531554/?ref_=ttep_ep_9,TRUE,NA,NA
32,3,10,Mother Daughter Laser Razor,2013-01-06,2013,8.2,14,"Linda worries that her relationship with Louise isn't as good as it should be, so, much to Louise's chagrin, she forces the young lady to participate in a mother-daughter seminar. With mom away, Tina turns to Bob for a lesson in shaving her legs.",Jennifer Coyle,Nora Smith,6.4,22,769806,Mother Daughter Laser Razor,"Sun, Jan 6, 2013","Linda struggles to connect with Louise when they attend a mother-daughter seminar, while Bob takes Tina to get her legs waxed.",8,1400,"https://m.media-amazon.com/images/M/MV5BMTU2NTM2OTE4Nl5BMl5BanBnXkFtZTgwNDMwNDk0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2579964/?ref_=ttep_ep_10,FALSE,NA,NA
33,3,11,Nude Beach,2013-01-13,2013,6.7,15,"The new health inspector proves to be a decent fellow, until he blackmails Bob into being allowed to perform his atrocious music at the restaurant, which drives away the customers.",Wes Archer,Scott Jacobson,4.44,22,769807,Nude Beach,"Sun, Jan 13, 2013",It's dingles and dongles and birthday suits.,7.5,1300,"https://m.media-amazon.com/images/M/MV5BMjEyMzQ0MDU1OV5BMl5BanBnXkFtZTgwODg1MTg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2605340/?ref_=ttep_ep_11,FALSE,Fred Armisen,Tommy
34,3,12,Broadcast Wagstaff School News,2013-01-27,2013,8.2,13,"There is a ""Mad Pooper"" running wild at the Belcher children's middle school and Tina finds herself on a mission to get to the ""bottom"" of the situation.",Jennifer Coyle,Greg Thompson,4.12,22,769808,Broadcast Wagstaff School News,"Sun, Jan 27, 2013",Tina is on a mission to unmask the middle school and Gene decides to dress up like Bob,8.5,1500,"https://m.media-amazon.com/images/M/MV5BMTA1NjkxMjc4NjheQTJeQWpwZ15BbWU4MDUxNzI5NDIx._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2615854/?ref_=ttep_ep_12,FALSE,NA,NA
35,3,13,My Fuzzy Valentine,2013-02-10,2013,7.3,12,"When a heart-shaped pancake simply doesn't cut it, the kids convince Bob to let them skip school in order to help him find a Valentine's Day gift that will ""wow"" Linda. Meanwhile, in the spirit of the romantic holiday, Linda sets up a speed-dating event at the restaurant that doesn't go exactly as planned.",Boohwan Lim & Kyounghee Lim,Dan Fybel & Rich Rinaldi,3.45,22,769810,My Fuzzy Valentine,"Sun, Feb 10, 2013",Bob gets romantic.,7.5,1200,"https://m.media-amazon.com/images/M/MV5BMTgwMTQ2MjkwOF5BMl5BanBnXkFtZTgwNDYyOTg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2661986/?ref_=ttep_ep_13,TRUE,NA,NA
36,3,14,Lindapendent Woman,2013-02-17,2013,7.9,13,"Linda thinks Bob doesn't appreciate her and quits the restaurant to work at a grocery store. In her absence, Bob tries - and fails - to run the place on his own and the kids are stuck in the middle of the marital mayhem. Meanwhile, things get romantic for Tina when she meets her potential soul mate while restocking the milk fridge.",Don MacKinnon,Mike Benner,3.93,22,769809,Lindapendent Woman,"Sun, Feb 17, 2013",Linda quits the restaurant and takes up a job at a grocery store.,7.8,1300,"https://m.media-amazon.com/images/M/MV5BMjEwMzIxMDE4Ml5BMl5BanBnXkFtZTgwODY1Mjg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2677612/?ref_=ttep_ep_14,FALSE,Matt Besser,Greg
37,3,15,O.T.: The Outside Toilet,2013-03-03,2013,8.1,15,"When Gene finds an expensive talking toilet out in the woods, he and his friends decide to protect it as much as they can while an evil toilet hunter is looking for the toilet.",Anthony Chun,Lizzie Molyneux & Wendy Molyneux,3.67,22,769811,O.T.: The Outside Toilet,"Sun, Mar 3, 2013",Gene encounters a mysterious talking toilet.,8.2,1400,"https://m.media-amazon.com/images/M/MV5BMjMxNTgyMTkzN15BMl5BanBnXkFtZTgwMjI5MTk0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2708068/?ref_=ttep_ep_15,FALSE,Neil Flynn; Jon Hamm,Max Flush; Toilet
38,3,16,Topsy,2013-03-10,2013,8.1,14,Louise expects to get a charge out of taking down her Thomas Edison-obsessed science teacher when she re-creates one of the famous inventor's experiments that involved electrocuting an elephant.,Tyree Dillihay,Loren Bouchard & Nora Smith,3.85,22,769812,Topsy,"Sun, Mar 10, 2013",The Belcher kids take on a Thomas Edison fanatic.,8.5,1500,"https://m.media-amazon.com/images/M/MV5BNTgwOTQyNTY2MV5BMl5BanBnXkFtZTgwMTA0MTk0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2733872/?ref_=ttep_ep_16,FALSE,NA,NA
39,3,17,Two for Tina,2013-03-17,2013,7.8,12,Jimmy Jr. is threatened when Tina starts dating a ballet dancer named Josh and the two boys get into an epic dance-off for her heart,Wes Archer,Scott Jacobson,3.62,22,769814,Two for Tina,"Sun, Mar 17, 2013",Tina finds herself in a love triangle.,7.9,1300,"https://m.media-amazon.com/images/M/MV5BMTY1MTY0MDUzMF5BMl5BanBnXkFtZTgwMzA3Mjk0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt2735282/?ref_=ttep_ep_17,FALSE,NA,NA
