magazine,year,month,volume,issue,location,title,author,note,start_page,page_count
Heavy Metal,1977,July,1,4,p.22-23,The Prince Of Mist: III. Conception And Creation,Walter C. F.Perry,NA,22,2
Heavy Metal,1977,July,1,4,p.23,The Prince Of Mist: IV. Epilogue,Walter C. F. Perry,NA,23,1
Heavy Metal,1977,July,1,4,p.25-32,World Apart: The Golden City,E. E. Davis,NA,25,8
Heavy Metal,1977,July,1,4,p.33,1996,ChantalMontellier,NA,33,1
Heavy Metal,1977,July,1,4,p.34-43,Nep Simo,Alain Voss,NA,34,10
Heavy Metal,1977,July,1,4,p.45-52,Harzakc,"Jean ""Moebius"" Giraud",NA,45,8
Heavy Metal,1977,July,1,4,p.53-64,Conquering Armies,Jean-Claude Galand Jean-Pierre Dionnet,NA,53,12
Heavy Metal,1977,July,1,4,p.65-68,Sunpot: Chapter 5,Vaughn Bod and JackAdler,reprinted in 15 Years Of 1992,65,4
Heavy Metal,1977,July,1,4,p.69-72,Sunpot: Chapter 6,VaughnBod and Jack Adler,reprinted in 15 Years Of 1992,69,4
Heavy Metal,1977,July,1,4,p.74-79,The GoldenQueen: A Border Ballad,Serge Bihannic and Philippe Druillet,NA,74,6
Heavy Metal,1977,July,1,4,p.80-87,The Long Tomorrow,"Dan O'Bannon and Jean ""Moebius"" Giraud",NA,80,8
Heavy Metal,1977,July,1,4,p.88-94,Crossroads Of The Universe,Enki Bilal,reprinted in Greatest Hits 1994,88,7
Heavy Metal,1977,July,1,4,p.95-96,Harzack,"Jean ""Moebius"" Giraud",NA,95,2
Heavy Metal,1977,July,1,4,Back Cover,NA,"""Arzach Rides Again""- Jean ""Moebius"" Giraud",NA,97,1
Heavy Metal,1977,August,1,5,Cover,NA,"""Ziegfried"" - Berni Wrightson",NA,0,1
Heavy Metal,1977,August,1,5,p.04,...Thus...,"""...Thus...""",NA,4,1
Heavy Metal,1977,August,1,5,p.05-08,The Black Queen,Marcel Gotlib and Philippe Druillet,NA,5,4
Heavy Metal,1977,August,1,5,p.09-16,Den,Richard Corben,NA,9,8
Heavy Metal,1977,August,1,5,p.18-23,Fever,Halmos,NA,18,6
Heavy Metal,1977,August,1,5,p.24-31,Roger,D. Locquet and Souchu,NA,24,8
Heavy Metal,1977,August,1,5,p.32-44,Polonius,Philippe Picaret and JacquesTardi,NA,32,13
Heavy Metal,1977,August,1,5,p.45-52,The Green Hand,"Elisabeth ""Zha"" Salomon and Nicole Claveloux",NA,45,8
Heavy Metal,1977,August,1,5,"p.58-61, 96",Space War Blues:Our Own Little Mardi Grass,Richard Allen Lupoff and George Barr,NA,58,5
Heavy Metal,1977,August,1,5,p.62-64,The Coincidence,Alain Voss,NA,62,3
Heavy Metal,1977,August,1,5,p.65-72,The Long Tomorrow: Part2,"Dan O'Bannon and Jean ""Moebius"" Giraud",NA,65,8
Heavy Metal,1977,August,1,5,p.73-79,Hamilton Potemkine,Philippe Druillet,NA,73,7
Heavy Metal,1977,August,1,5,p.80,1996,Chantal Montellier,NA,80,1
Heavy Metal,1977,August,1,5,p.81-88,WorldApart: The Golden City,E. E. Davis,NA,81,8
Heavy Metal,1977,August,1,5,p.89-95,"Package For You, MissusJones",Alex,NA,89,7
Heavy Metal,1977,August,1,5,Back Cover,NA,"Jean ""Moebius"" Giraud",NA,96,1
Heavy Metal,1977,September,1,6,Cover,NA,Philippe Druillet,NA,0,1
Heavy Metal,1977,September,1,6,p.01,Chain Mail,"""Chain Mail""",NA,1,1
Heavy Metal,1977,September,1,6,p.01,ChainMail: Illustration,Jean-Michel Nicollet,NA,1,1
Heavy Metal,1977,September,1,6,p.04,...Also...,"""...Also...""",NA,4,1
Heavy Metal,1977,September,1,6,p.05-08,The Last Vodka On Smirnov,"Patrick Lesueur and ""Brother"" Alain",NA,5,4
Heavy Metal,1977,September,1,6,p.09-16,Den,Richard Corben,NA,9,8
Heavy Metal,1977,September,1,6,p.18,1996,Chantal Montellier,NA,18,1
Heavy Metal,1977,September,1,6,p.19-31,The Airtight Garage Of Jerry Cornelius: Major Fatal,"Jean ""Moebius"" Giraud",NA,19,13
Heavy Metal,1977,September,1,6,p.34-41,Teonanacatl: Genese,Cortman,NA,34,8
Heavy Metal,1977,September,1,6,p.42-44,Is There A DemonLover In The House?,Roger Zelazny,NA,42,3
Heavy Metal,1977,September,1,6,p.46-53,Night Grass,"NicoleClaveloux and Elisabeth ""Zha"" Salomon",NA,46,8
Heavy Metal,1977,September,1,6,p.54-56,AAARRRZZZ,Philippe Druillet,NA,54,3
Heavy Metal,1977,September,1,6,p.57-64,World Apart,E. E. Davis,NA,57,8
Heavy Metal,1977,September,1,6,p.66-74,Polonius,PhilippePicaret and Jacques Tardi,NA,66,9
Heavy Metal,1977,September,1,6,p.75-82,It's A Small Universe,"Jean""Moebius"" Giraud",NA,75,8
Heavy Metal,1977,September,1,6,p.83-96,Orcyb,Sergio Macedo,NA,83,14
Heavy Metal,1977,September,1,6,Back Cover,NA,"""MajorGrubert"" - Jean ""Moebius"" Giraud",NA,97,1
Heavy Metal,1977,October,1,7,Cover,NA,Jean-Michel Nicollet,NA,0,1
Heavy Metal,1977,October,1,7,p.01,Chain Mail,"""Chain Mail""",NA,1,1
Heavy Metal,1977,October,1,7,p.01,ChainMail: Illustration,Alain Voss,NA,1,1
Heavy Metal,1977,October,1,7,p.04,...And...,"""...And...""",NA,4,1
Heavy Metal,1977,October,1,7,p.05-06,TheAirtight Garage Of Jerry Cornelius: Chapter One: A Dangerous Overhaul,"Jean""Moebius"" Giraud",NA,5,2
Heavy Metal,1977,October,1,7,p.07-16,How Good Is Man?,"Jean ""Moebius"" Giraud",NA,7,10
Heavy Metal,1977,October,1,7,p.18-20,The Singsong Of Cecily Snow,Theodore Sturgeon and Chris Callis,NA,18,3
Heavy Metal,1977,October,1,7,p.21-25,Jet Man,Angus McKie,reprinted in The Best Of 1982,21,5
Heavy Metal,1977,October,1,7,p.28-29,Le Garage: Chapter Two: Alert On The Tundra,"Jean ""Moebius"" Giraud",NA,28,2
Heavy Metal,1977,October,1,7,p.30-44,Turod: The Last Knight Of The Age: The Palace Of The Sorcerers,PhilRosilio and Iso Kahn,NA,30,15
Heavy Metal,1977,October,1,7,p.45-52,Den,Richard Corben,NA,45,8
Heavy Metal,1977,October,1,7,p.53-64,DiabolicalPlanet: Opration Omega: A Space Adventure,Maurice Leblanc and DenisSire,NA,53,12
Heavy Metal,1977,October,1,7,p.66-74,Jean Cyriaque: In You I Am Reborn,Jean-Pierre Dionnetand Jean Sol,NA,66,9
Heavy Metal,1977,October,1,7,p.76-77,The Airtight Garage Of Jerry Cornelius: ChapterThree: The Plot Thickens,"Jean ""Moebius"" Giraud",NA,76,2
Heavy Metal,1977,October,1,7,p.78-85,White Night,"Elisabeth ""Zha"" Salomon and Nicole Claveloux",reprinted in The Best Of 1982,78,8
Heavy Metal,1977,October,1,7,p.86-96,Polonius,Philippe Picaret and Jacques Tardi,NA,86,11
Heavy Metal,1977,November,1,8,Cover,NA,George Proctor,NA,0,1
Heavy Metal,1977,November,1,8,p.04,...Nonetheless...,"""...Nonetheless...""",NA,4,1
Heavy Metal,1977,November,1,8,p.05-08,The Airtight Garage Of Jerry C.: The Third Trick: Star Billiard,"Jean ""Moebius""Giraud",NA,5,4
Heavy Metal,1977,November,1,8,p.09-16,Den,Richard Corben,NA,9,8
Heavy Metal,1977,November,1,8,p.17-26,Bird Dust,"Philippe""Caza"" Cazamayou and Franois Bazzoli",reprinted in January 1984,17,10
Heavy Metal,1977,November,1,8,p.27-32,A Visit To Jivaskilla Technexpo,Patrick Lesueur,NA,27,6
Heavy Metal,1977,November,1,8,p.33-40,BlueTerror,"Elisabeth ""Zha"" Salomon and Nicole Claveloux",NA,33,8
Heavy Metal,1977,November,1,8,p.41-44,TheAdventures Of Ludwig Mollusc: The Feet Upon The Stomach,"Richard ""F'Murr"" Peyzaret",NA,41,4
Heavy Metal,1977,November,1,8,p.45-53,Ballade,"Jean ""Moebius"" Giraud and Arthur Rimbaud",reprintedin The Best Of 1982,45,9
Heavy Metal,1977,November,1,8,p.54,1996,Chantal Montellier,NA,54,1
Heavy Metal,1977,November,1,8,p.56-63,World Apart: The Golden City,E. E. Davis,NA,56,8
Heavy Metal,1977,November,1,8,p.64-69,How's The NightLife On Cissalda?,Harlan Ellison and Tom Barber,NA,64,6
Heavy Metal,1977,November,1,8,p.69-70,Chain Mail,"""Chain Mail""",NA,69,2
Heavy Metal,1977,November,1,8,p.73-81,Polonius,Philippe Picaret and Jacques Tardi,NA,73,9
Heavy Metal,1977,November,1,8,p.83-90,Master,Jean-Michel Nicollet,reprinted in The Best Of 1982 and Greatest Hits1994,83,8
Heavy Metal,1977,November,1,8,p.92-96,1996,Chantal Montellier,NA,92,5
Heavy Metal,1977,November,1,8,Back Cover,NA,Tom Barber,NA,97,1
Heavy Metal,1977,December,1,9,Cover,NA,Jean Sol,NA,0,1
Heavy Metal,1977,December,1,9,p.04,...Regardless...,"""...Regardless...""",NA,4,1
Heavy Metal,1977,December,1,9,p.07-14,Den,Richard Corben,NA,7,8
Heavy Metal,1977,December,1,9,p.15-22,Vuzz: Chapter 1,Philippe Druillet,NA,15,8
Heavy Metal,1977,December,1,9,p.23-27,Vuzz: Chapter 2,Philippe Druillet,NA,23,5
Heavy Metal,1977,December,1,9,p.28-32,Vuzz: Chapter 3,Philippe Druillet,NA,28,5
Heavy Metal,1977,December,1,9,p.33-38,Vuzz: Chapter 4,Philippe Druillet,NA,33,6
Heavy Metal,1977,December,1,9,p.39-46,Telefield,Sergio Macedo,NA,39,8
Heavy Metal,1977,December,1,9,p.48-50,Close Encounters Of The ThirdKind: Chapter Eleven,Steven Spielberg,NA,48,3
Heavy Metal,1977,December,1,9,p.52-55,Fortune's Fool!,Howard Chaykin and Leonard Wein,NA,52,4
Heavy Metal,1977,December,1,9,p.57-64,The Mauve Sideshow,"Elisabeth""Zha"" Salomon and Nicole Claveloux",NA,57,8
Heavy Metal,1977,December,1,9,p.66-67,Black Thursday,"Jean ""Moebius""Giraud",NA,66,2
Heavy Metal,1977,December,1,9,p.69-75,Vuzz: Chapter 5,Philippe Druillet,NA,69,7
Heavy Metal,1977,December,1,9,p.76-80,Vuzz: Chapter 6,Philippe Druillet,NA,76,5
Heavy Metal,1977,December,1,9,p.81-83,Vuzz: Chapter 7,PhilippeDruillet,NA,81,3
Heavy Metal,1977,December,1,9,p.84-88,Vuzz: Chapter 8,Philippe Druillet,NA,84,5
Heavy Metal,1977,December,1,9,p.89-104,Vuzz: Chapter 9,Philippe Druillet,NA,89,16
Heavy Metal,1977,December,1,9,Back Cover,NA,Howard Chaykin,NA,105,1
Heavy Metal,1978,January,1,10,Cover,NA,Val Mayerik,NA,0,1
Heavy Metal,1978,January,1,10,p.04,...Subsequently...,"""...Subsequently...""",NA,4,1
Heavy Metal,1978,January,1,10,p.05-20,Ulysses,"Homer, Jacques Lob, and Georges Pichard",NA,5,16
Heavy Metal,1978,January,1,10,p.21-24,The Time Warp,Serge Clerc and Gregory Dentier,NA,21,4
Heavy Metal,1978,January,1,10,p.26-32,Talapalca,Dominique H,NA,26,7
Heavy Metal,1978,January,1,10,p.33-40,Den,Richard Corben,NA,33,8
Heavy Metal,1978,January,1,10,p.41-46,The Airtight Garage Of JerryCornelius: Fifth Episode: The Major Disappears,"Jean ""Moebius"" Giraud",NA,41,6
Heavy Metal,1978,January,1,10,p.48-49,Miss Heavy Metal 1978: Roberta,James Meehan,NA,48,2
Heavy Metal,1978,January,1,10,p.51-55,1996,Chantal Montellier,NA,51,5
Heavy Metal,1978,January,1,10,p.56,Chain Mail,"""Chain Mail""",NA,56,1
Heavy Metal,1978,January,1,10,p.59,Space Soap Opera,Helme,NA,59,1
Heavy Metal,1978,January,1,10,p.60-75,Conquering Armies,Jean-Pierre Dionnet and Jean-ClaudeGal,NA,60,16
Heavy Metal,1978,January,1,10,p.77-96,A Rose For Ecclesiastes,Roger Zelazny and Gray Morrow,NA,77,20
Heavy Metal,1978,February,1,11,Cover,NA,"""Teachings From An Unholy Book"" - Alex Nio",NA,0,1
Heavy Metal,1978,February,1,11,"p.01, 68",ChainMail,"""ChainMail""",NA,1,2
Heavy Metal,1978,February,1,11,p.04,...Consequently...,"""...Consequently...""",NA,4,1
Heavy Metal,1978,February,1,11,p.05,Marvels Of The Universe,"Jean ""Moebius"" Giraud",NA,5,1
Heavy Metal,1978,February,1,11,"p.06-07, 66",The Airtight Garage Of JerryCornelius,"67 - Jean ""Moebius"" Giraud",NA,6,3
Heavy Metal,1978,February,1,11,p.09-16,Den,Richard Corben,NA,9,8
Heavy Metal,1978,February,1,11,p.17-24,The Winter Of The Last Combat,Victor Mora and Luis Garcia,NA,17,8
Heavy Metal,1978,February,1,11,p.26-32,Diabolical Planet,Denis Sire,NA,26,7
Heavy Metal,1978,February,1,11,p.34-44,Urm The Mad,PhilippeDruillet,NA,34,11
Heavy Metal,1978,February,1,11,p.45-47,World Famous...,Patrick Lesueur and Alain,NA,45,3
Heavy Metal,1978,February,1,11,p.48-49,The Burial Of Death,Alex Nio,NA,48,2
Heavy Metal,1978,February,1,11,p.50-55,"Venus - Ah, Venus",RichardAllen Lupoff and Cathy McGinty,NA,50,6
Heavy Metal,1978,February,1,11,p.57-64,Telefield: Second Episode,Sergio Macedo,NA,57,8
Heavy Metal,1978,February,1,11,p.69-72,Age Of Ages,Akbar Del Piombo and Norman Rubington,NA,69,4
Heavy Metal,1978,February,1,11,p.73-80,Free Fall,"Jean ""Moebius"" Giraud",reprinted in The BestOf 1982,73,8
Heavy Metal,1978,February,1,11,p.81-90,Barbarella: The Moon Child!,Jean-Claude Forest,NA,81,10
Heavy Metal,1978,February,1,11,p.92-96,1996,Chantal Montellier,NA,92,5
Heavy Metal,1978,February,1,11,Back Cover,NA,"""Teachings From An UnholyBook"" - Alex Nio",NA,97,1
Heavy Metal,1978,March,1,12,Cover,NA,"""Colonel Kylling"" - Jim Burns",NA,0,1
Heavy Metal,1978,March,1,12,p.04,...Incidentally...,"""...Incidentally...""",NA,4,1
Heavy Metal,1978,March,1,12,p.05,Self-Portrait,Charles Vess,NA,5,1
Heavy Metal,1978,March,1,12,p.07-14,Den,Richard Corben,NA,7,8
Heavy Metal,1978,March,1,12,p.15-17,The Ruse,Thomas Bridges and Charles Vess,NA,15,3
Heavy Metal,1978,March,1,12,p.18-23,The Winter Of The Last Combat: Chapter Two,Victor Mora and Luis Garcia,NA,18,6
Heavy Metal,1978,March,1,12,p.25-32,Diabolical Planet: Part 2,Denis Sire,NA,25,8
Heavy Metal,1978,March,1,12,p.34-44,Urm,Philippe Druillet,NA,34,11
Heavy Metal,1978,March,1,12,p.45-47,Hitchhike,Alain Voss,NA,45,3
Heavy Metal,1978,March,1,12,p.48-49,Galactic Geographic: Talus IV,Karl B. Kofoed,NA,48,2
Heavy Metal,1978,March,1,12,p.51-58,The Abracax Effect,Jean-Michel Nicollet,NA,51,8
Heavy Metal,1978,March,1,12,p.61-68,Orion,Gray Morrow,NA,61,8
Heavy Metal,1978,March,1,12,p.69-72,The Airtight Garage Of Jerry Cornelius: A New Episode,"Jean""Moebius"" Giraud",NA,69,4
Heavy Metal,1978,March,1,12,p.73-77,1996,Chantal Montellier,NA,73,5
Heavy Metal,1978,March,1,12,p.78,Lost,Jean Louis Trip,NA,78,1
Heavy Metal,1978,March,1,12,p.79-87,Underground Comic,Stuart Nezin,NA,79,9
Heavy Metal,1978,March,1,12,p.88-96,Barbarella,Jean-Claude Forest,NA,88,9
Heavy Metal,1978,March,1,12,Back Cover,NA,"""Colonel Killing"" - JimBurns",NA,97,1
Heavy Metal,1978,April,1,13,Cover,NA,Robert Morello,NA,0,1
Heavy Metal,1978,April,1,13,"p.01, 45",Chain Mail,"""Chain Mail""",NA,1,2
Heavy Metal,1978,April,1,13,p.04,...Furthermore...,"""...Furthermore...""",NA,4,1
Heavy Metal,1978,April,1,13,p.04,Photo,Daudier,NA,4,1
Heavy Metal,1978,April,1,13,p.06-13,Den's Farewell,Richard Corben,reprinted in The Best Of 1982 and 15 Years Of 1992,6,8
Heavy Metal,1978,April,1,13,"p.14-15,46-47",The Airtight Garage Of Jerry Cornelius,"Jean ""Moebius"" Giraud",NA,14,4
Heavy Metal,1978,April,1,13,p.18-28,Urm The Mad,Philippe Druillet,NA,18,11
Heavy Metal,1978,April,1,13,p.30-34,1996,Chantal Montellier,NA,30,5
Heavy Metal,1978,April,1,13,p.35-44,City Of Flowers,Philippe Druillet and Picotto,reprintedin The Best Of 1982,35,10
Heavy Metal,1978,April,1,13,p.48-49,Galactic Geographic: Kierkimos Toxis,Karl Kofoed,NA,48,2
Heavy Metal,1978,April,1,13,p.51-58,Orion: Chapter II,Gray Morrow,NA,51,8
Heavy Metal,1978,April,1,13,p.59,Paradise9,Sean Kelly,NA,59,1
Heavy Metal,1978,April,1,13,p.60-61,Paradise 9: Departure,Sergio Macedoand Phil Manoeuvre,NA,60,2
Heavy Metal,1978,April,1,13,p.62-64,"Paradise 9: Throughout The Livelong Day, AcrossThe Open Spaces",Nicole Claveloux,NA,62,3
Heavy Metal,1978,April,1,13,p.65,Paradise 9: Aedipios,"""Paradise 9: Aedipios""",NA,65,1
Heavy Metal,1978,April,1,13,p.67-69,Paradise 9: A Heavy Metal Production,Phil Manoeuvre and Serge Clerc,NA,67,3
Heavy Metal,1978,April,1,13,p.70-72,Paradise 9: Genesis,Dominique H,NA,70,3
Heavy Metal,1978,April,1,13,p.73,Paradise 9: The Flora Of Paradise 9,"Jean ""Moebius""Giraud",NA,73,1
Heavy Metal,1978,April,1,13,p.74,Paradise Nine's Strange Flowers,"Jean ""Moebius"" Giraud",NA,74,1
Heavy Metal,1978,April,1,13,p.75,Paradise 9 Magazine,Denis Sire,NA,75,1
Heavy Metal,1978,April,1,13,p.76-77,Paradise 9: TheRuins Of The Supiliouluma,Jean-Claude Gal,NA,76,2
Heavy Metal,1978,April,1,13,p.78-80,"Paradise 9: The HistoryOf The World, As Told By Badar",Jean-Pierre Dionnet and Jean-Louis Tripp,NA,78,3
Heavy Metal,1978,April,1,13,p.81,Paradise 9: 9661,Chantal Montellier,NA,81,1
Heavy Metal,1978,April,1,13,p.82-83,Paradise9: A Brief History Of Its Natives,Norman Rubington,NA,82,2
Heavy Metal,1978,April,1,13,p.84-87,Paradise9: Macaberesqu,E. E. Davis,reprinted in Greatest Hits 1994,84,4
Heavy Metal,1978,April,1,13,p.89-96,Barbarella,Jean-Claude Forest,NA,89,8
Heavy Metal,1978,April,1,13,Back Cover,NA,Rick Bryant,NA,97,1
Heavy Metal,1978,May,2,1,Cover,NA,Philippe Druillet,NA,0,1
Heavy Metal,1978,May,2,1,"p.01, 55",Chain Mail,"""Chain Mail""",NA,1,2
Heavy Metal,1978,May,2,1,p.04,...Continually...,"""...Continually...""",NA,4,1
Heavy Metal,1978,May,2,1,p.05,Jungle Gysm,"Jean ""Moebius"" Giraud",NA,5,1
Heavy Metal,1978,May,2,1,p.07-14,Going To Pieces,Franois Schuiten,reprinted in The Best Of 1982 and GreatestHits 1994 HC,7,8
Heavy Metal,1978,May,2,1,p.15-22,Fed Up!,Serge Le Tendre and Dominique H,NA,15,8
Heavy Metal,1978,May,2,1,p.23-30,Orion: Chapter III,Gray Morrow,NA,23,8
Heavy Metal,1978,May,2,1,p.31-34,The UptightGarbage Of Moebius,"Jean ""Moebius"" Giraud",NA,31,4
Heavy Metal,1978,May,2,1,p.35-44,Tap-Dancing On A TenderCerebellum,Alex Nio,NA,35,10
Heavy Metal,1978,May,2,1,p.45-47,An Image,Sergio Macedo and AlainVoss,NA,45,3
Heavy Metal,1978,May,2,1,p.48-49,Galactic Geographic: Millenium Starship,Karl B. Kofoed,NA,48,2
Heavy Metal,1978,May,2,1,p.50-54,Lost Time,Norville and Fourgeaud,NA,50,5
Heavy Metal,1978,May,2,1,p.58-61,Ozone Alley,Richard Raxlen Jr. and Richard Olsen,NA,58,4
Heavy Metal,1978,May,2,1,p.62-73,Urm The Mad,PhilippeDruillet,NA,62,12
Heavy Metal,1978,May,2,1,p.74-75,Margerin,Frank Margerin,NA,74,2
Heavy Metal,1978,May,2,1,p.77-82,The DayThe City Crossed The Threshold,Serge Le Tendre and Michel Blanc-Dumont,NA,77,6
Heavy Metal,1978,May,2,1,p.83-90,Barbarella,Jean-Claude Forest,NA,83,8
Heavy Metal,1978,May,2,1,p.92-96,1996,Chantal Montellier,NA,92,5
Heavy Metal,1978,June,2,2,Cover,NA,Joe Jusko,NA,0,1
Heavy Metal,1978,June,2,2,"p.01, 47",ChainMail,"""ChainMail""",NA,1,2
Heavy Metal,1978,June,2,2,p.04,...Anyway...,"""...Anyway...""",NA,4,1
Heavy Metal,1978,June,2,2,p.05,Fable,Lourdel,NA,5,1
